wy,wr,wd,wc,cap_min_pct,top_n,daily_replace_k,val2026_strict_period_return,val2026_strict_excess_equal,val2026_strict_max_drawdown,val2026_strict_turnover_mean,hold2026_recent_period_return,hold2026_recent_excess_equal,hold2026_recent_max_drawdown,hold2026_recent_turnover_mean,same_pre_2025_period_return,same_pre_2025_excess_equal,same_pre_2025_max_drawdown,same_pre_2025_turnover_mean,same_comp_2025_period_return,same_comp_2025_excess_equal,same_comp_2025_max_drawdown,same_comp_2025_turnover_mean,selection_score_period,rolling_10d_return_mean,rolling_10d_win_rate,rolling_10d_return_min,rolling_10d_turnover_mean,latest_10d_return,recent5_10d_return_mean,recent5_10d_return_min,selection_score_competition
0.0,2.0,0.5,0.5,0.0,10.0,5.0,0.16048394866327165,0.0414892358336818,-0.11833171263506392,1.0,-0.03437399994349255,0.007694123873951297,-0.03445481795259053,1.0,-0.05001830236394755,-0.02840530054052226,-0.05172423106472468,1.0,-0.046531612980937,-0.059916074383830065,-0.059205827660090526,1.0,0.007345480854991787,0.010235550669288374,0.6835443037974683,-0.09850920495654492,1.0,0.052146193917769645,0.04017560616139071,0.020808714186711263,0.012370964803347612
0.0,0.5,0.0,0.0,0.0,10.0,5.0,0.16403825989268705,0.04504354706309721,-0.16696499630810124,1.0,-0.05782005039592897,-0.01575192657848512,-0.054037482597119824,1.0,-0.05642910846396021,-0.034816106640534916,-0.03588783083940272,1.0,-0.04370430068161024,-0.05708876208450331,-0.0656441345588602,1.0,0.0025458842250167327,0.012634206206786742,0.620253164556962,-0.11315005495906749,1.0,0.055754724211051876,0.04819816218181501,0.031115210726790465,0.011562482527052309
0.0,1.0,0.0,0.0,0.0,10.0,5.0,0.16403825989268705,0.04504354706309721,-0.16696499630810124,1.0,-0.05782005039592897,-0.01575192657848512,-0.054037482597119824,1.0,-0.05642910846396021,-0.034816106640534916,-0.03588783083940272,1.0,-0.04370430068161024,-0.05708876208450331,-0.0656441345588602,1.0,0.0025458842250167327,0.012634206206786742,0.620253164556962,-0.11315005495906749,1.0,0.055754724211051876,0.04819816218181501,0.031115210726790465,0.011562482527052309
0.0,1.5,0.0,0.0,0.0,10.0,5.0,0.16403825989268705,0.04504354706309721,-0.16696499630810124,1.0,-0.05782005039592897,-0.01575192657848512,-0.054037482597119824,1.0,-0.05642910846396021,-0.034816106640534916,-0.03588783083940272,1.0,-0.04370430068161024,-0.05708876208450331,-0.0656441345588602,1.0,0.0025458842250167327,0.012634206206786742,0.620253164556962,-0.11315005495906749,1.0,0.055754724211051876,0.04819816218181501,0.031115210726790465,0.011562482527052309
0.0,2.0,0.0,0.0,0.0,10.0,5.0,0.16403825989268705,0.04504354706309721,-0.16696499630810124,1.0,-0.05782005039592897,-0.01575192657848512,-0.054037482597119824,1.0,-0.05642910846396021,-0.034816106640534916,-0.03588783083940272,1.0,-0.04370430068161024,-0.05708876208450331,-0.0656441345588602,1.0,0.0025458842250167327,0.012634206206786742,0.620253164556962,-0.11315005495906749,1.0,0.055754724211051876,0.04819816218181501,0.031115210726790465,0.011562482527052309
0.5,0.5,0.5,0.0,0.0,20.0,5.0,0.13749811204892337,0.018503399219333527,-0.13196428032381924,0.5056818181818182,-0.058447816989222856,-0.01637969317177901,-0.05740745319885676,0.5833333333333334,-0.025329999268510872,-0.003716997445085579,-0.029572022046627566,0.5833333333333334,0.01799918885878271,0.0046147274558896445,-0.01632226714963758,0.5555555555555556,0.004366265857375945,0.012759576676183468,0.7215189873417721,-0.12073563827472356,0.5499999999999997,0.005477863759731916,0.03048658274083227,0.005477863759731916,0.010949054042774154
0.25,1.0,0.25,0.5,0.5,20.0,3.0,0.12228799285680703,0.0032932800272171825,-0.044172561753890505,0.30795454545454537,0.009489153437456599,0.05155727725490045,-0.018694958523122862,0.4166666666666667,-0.03434057680307345,-0.01272757497964816,-0.037091620411310866,0.4166666666666667,-0.013108797960514118,-0.026493259363407184,-0.024532542676113045,0.3777777777777777,0.008488170174514541,0.006551920707974981,0.5822784810126582,-0.06707292166965739,0.3700000000000001,-0.008122333427989736,0.016114955200410862,-0.011767735270382773,0.010802184304461908
0.0,2.0,0.0,0.75,0.5,20.0,5.0,0.13175885465491688,0.012764141825327036,-0.06493215282641418,0.5056818181818182,-0.014494846172033116,0.027573277645410732,-0.02008656666576858,0.5833333333333334,-0.0505628028626377,-0.02894980103921241,-0.039976982784688864,0.5833333333333334,-0.01882560636137698,-0.032210067764270045,-0.026086590442818802,0.5555555555555556,0.003463202912227483,0.01028308977385732,0.6962025316455697,-0.07981136493659768,0.5499999999999997,0.02926384024694495,0.02787809147593756,0.012289737113341248,0.010638322476387055
1.0,1.0,0.0,0.75,0.5,20.0,5.0,0.09536568074696561,-0.023629032082624235,-0.04667815792577923,0.5056818181818182,0.024676715133697735,0.06674483895114158,-0.009322375738620714,0.5833333333333334,-0.042248065681320446,-0.020635063857895153,-0.03878935686277907,0.5833333333333334,-0.009436699764833856,-0.022821161167726922,-0.018326534408494077,0.5555555555555556,-0.0004652884532388205,0.010317660934226999,0.6582278481012658,-0.0637094042039289,0.5499999999999997,0.00037511231381581744,0.01852420750457675,-0.004648704021436911,0.010524176981250747
0.5,1.5,0.25,0.75,0.5,20.0,3.0,0.11981252706185663,0.0008178142322667892,-0.04681376106675572,0.30795454545454537,0.005917121283456561,0.04798524510090041,-0.01547963470921132,0.4166666666666667,-0.03462132406611573,-0.01300832224269044,-0.03851669503072519,0.4166666666666667,-0.018966794094052553,-0.03235125549694562,-0.027372721737903172,0.3777777777777777,0.005560391018799749,0.00729639663214802,0.620253164556962,-0.06853440484358742,0.3700000000000001,-0.005447158810642283,0.01975597419831452,-0.005447158810642283,0.010423424230417085
