wy,wr,wd,wc,cap_min_pct,top_n,daily_replace_k,val2026_strict_period_return,val2026_strict_excess_equal,val2026_strict_max_drawdown,val2026_strict_turnover_mean,hold2026_recent_period_return,hold2026_recent_excess_equal,hold2026_recent_max_drawdown,hold2026_recent_turnover_mean,same_pre_2025_period_return,same_pre_2025_excess_equal,same_pre_2025_max_drawdown,same_pre_2025_turnover_mean,same_comp_2025_period_return,same_comp_2025_excess_equal,same_comp_2025_max_drawdown,same_comp_2025_turnover_mean,selection_score_period
0.0,0.5,0.0,0.5,0.0,20,5,0.0765357458175111,-0.04245896701207874,-0.05657000470720741,0.5056818181818182,0.007547980557377709,0.04961610437482156,-0.02467960369597566,0.5833333333333334,-0.032416544785653034,-0.010803542962227741,-0.03388893606291865,0.5833333333333334,0.017719891850920932,0.004335430448027866,-0.008744643749296621,0.5555555555555556,-0.0076727259388600245
0.0,0.5,0.0,0.5,0.0,20,3,0.04676681278225647,-0.07222790004733337,-0.05360858026464399,0.30795454545454537,-0.013343592239672186,0.02872453157777166,-0.041792846437206044,0.4166666666666667,-0.022901163667911173,-0.00128816184448588,-0.03335493375746679,0.4166666666666667,-0.0025336944250328175,-0.015918155827925884,-0.026288095476960538,0.3777777777777777,-0.027902369777718868
0.0,0.5,0.0,0.5,0.0,10,5,0.025327765766391952,-0.09366694706319789,-0.09458851073292185,1.0,-0.02820430048046174,0.013863823336982106,-0.0194402387917042,1.0,-0.037070199097019474,-0.015457197273594181,-0.04864419754531912,1.0,-0.013536815882777664,-0.02692127728567073,-0.023208830111853596,1.0,-0.045040941528083266
0.0,0.5,0.0,0.5,0.0,10,3,-0.0011790943754481642,-0.12017380720503801,-0.06658926390568198,0.6045454545454544,0.007902333875127399,0.049970457692571246,-0.02995684238815377,0.6666666666666666,-0.05948513582321713,-0.037872133999791835,-0.07078971645658938,0.6666666666666666,-0.0007368469339408268,-0.014121308336833893,-0.017811993207335508,0.6444444444444444,-0.049384615169618146
0.0,0.5,0.0,0.5,0.5,20,5,0.07830482099147806,-0.04068989183811178,-0.05657000470720741,0.5056818181818182,0.007631479444718092,0.04969960326216194,-0.02467960369597566,0.5833333333333334,-0.02224259929310668,-0.0006295974696813866,-0.03048242375201582,0.5833333333333334,0.008601849232950043,-0.0047826121699430235,-0.009713748911944986,0.5555555555555556,-0.006697381957553478
0.0,0.5,0.0,0.5,0.5,20,3,0.0586512051961221,-0.06034350763346774,-0.05360858026464399,0.30795454545454537,-0.0050316242595804805,0.03703649955786337,-0.03162629420750607,0.4166666666666667,-0.01669422667663134,0.004918775146793952,-0.033119187353974566,0.4166666666666667,0.009878659718761007,-0.0035058016841320594,-0.015180346646193166,0.3777777777777777,-0.017683507526195356
0.0,0.5,0.0,0.5,0.5,10,5,0.01632858491025102,-0.10266612791933882,-0.09458851073292185,1.0,-0.015604133244437879,0.02646399057300597,-0.0194402387917042,1.0,-0.005500535311219523,0.01611246651220577,-0.02423055613708769,1.0,-0.039752304510283,-0.053136765913176065,-0.04916728271093962,1.0,-0.04513740483059652
0.0,0.5,0.0,0.5,0.5,10,3,-0.0079984906543481,-0.12699320348393794,-0.06658926390568198,0.6045454545454544,0.007902333875127399,0.049970457692571246,-0.02995684238815377,0.6666666666666666,-0.04031112545385729,-0.018698123630431995,-0.05403661035642304,0.6666666666666666,0.009156258760749214,-0.004228202642143852,-0.014101930621172709,0.6444444444444444,-0.04809327608551565
0.0,0.5,0.0,0.75,0.0,20,5,0.0327732203449691,-0.08622149248462074,-0.06998409018397667,0.5056818181818182,0.012351490243665664,0.05441961406110951,-0.016479571098089174,0.5833333333333334,-0.03663578081730312,-0.015022778993877828,-0.03845421523880477,0.5833333333333334,-0.0023296390417076873,-0.015714100444600754,-0.008571985599826193,0.5555555555555556,-0.029805300018573747
0.0,0.5,0.0,0.75,0.0,20,3,0.0475702495839776,-0.07142446324561225,-0.05966855150924533,0.30795454545454537,-0.016295914029111014,0.025772209788332834,-0.03394877441596833,0.4166666666666667,-0.03935484357480323,-0.01774184175137794,-0.0411681455269709,0.4166666666666667,0.01716052336553897,0.0037760619626459047,-0.008386243359510881,0.3777777777777777,-0.02779282298175211
0.0,0.5,0.0,0.75,0.0,10,5,-0.06652232419881632,-0.18551703702840616,-0.08820678391857828,1.0,-0.03417420402383664,0.007893919793607207,-0.025815610303398184,1.0,-0.05294803303237139,-0.031335031208946096,-0.05797018556267264,1.0,0.0061390236239673435,-0.007245437778925723,-0.01710695271299789,1.0,-0.08729625706256174
0.0,0.5,0.0,0.75,0.0,10,3,-0.00818301386586473,-0.12717772669545457,-0.05725568458428776,0.6045454545454544,0.000286074944446435,0.04235419876189028,-0.025016293197696826,0.6666666666666666,-0.05212771605216293,-0.03051471422873764,-0.05715421866793091,0.6666666666666666,0.01885291499051034,0.005468453587617272,-0.013269680174191611,0.6444444444444444,-0.050398366418650045
0.0,0.5,0.0,0.75,0.5,20,5,0.0327732203449691,-0.08622149248462074,-0.06998409018397667,0.5056818181818182,0.012351490243665664,0.05441961406110951,-0.016479571098089174,0.5833333333333334,-0.03180122550271414,-0.010188223679288844,-0.035911416362727655,0.5833333333333334,-0.004934168412672246,-0.018318629815565313,-0.011755467369292671,0.5555555555555556,-0.029470796127030085
