score_variant,top_n,daily_replace_k,val_period_return,val_sharpe,val_max_drawdown,val_turnover_mean,val_day_count,val_final_nav,hold_period_return,hold_sharpe,hold_max_drawdown,hold_turnover_mean,hold_day_count,hold_final_nav,val_excess_equal,hold_excess_equal
direction_prob,30,2,0.08768923736640177,1.2466635397184886,-0.10785097929177934,0.14318181818181816,88.0,1087689.2373664018,-0.0439979875157166,-9.232587055971912,-0.04084097380968155,0.27777777777777773,6.0,956002.0124842834,-0.027013941039359946,-0.002051337964324995
direction_prob,30,3,0.13092139393436653,1.8102630469249492,-0.10837168942853692,0.20909090909090908,88.0,1130921.3939343665,-0.04941927233066756,-10.191274353966248,-0.04562545977254062,0.3333333333333333,6.0,950580.7276693324,0.016218215528604807,-0.007472622779275961
direction_prob,30,5,0.13256779411306496,1.8283804707361972,-0.11279494871618223,0.3409090909090909,88.0,1132567.7941130649,-0.06072065941686089,-12.345752547441815,-0.05393158625726635,0.4444444444444444,6.0,939279.3405831391,0.017864615707303244,-0.018774009865469288
direction_prob,30,10,0.09558053055694682,1.3336217686035807,-0.11988832162490148,0.6704545454545455,88.0,1095580.5305569468,-0.06382936822518015,-15.585020207953061,-0.05140116831686903,0.7222222222222222,6.0,936170.6317748198,-0.0191226478488149,-0.021882718673788548
direction_prob,30,30,-0.025058536560427114,-0.22743248656994056,-0.1513761069482782,1.9886363636363635,88.0,974941.4634395728,-0.05477553763844101,-10.401750332389616,-0.05306264309439768,1.8333333333333333,6.0,945224.462361559,-0.13976171496618883,-0.012828888087049406
direction_prob,50,0,0.11242249524860237,1.7043029999268364,-0.09371270808214038,0.030227272727272728,88.0,1112422.4952486025,-0.05190238811720338,-11.582414963009105,-0.04332134681991551,0.17666666666666667,6.0,948097.6118827966,-0.0022806831571593467,-0.009955738565811778
direction_prob,50,1,0.04684523958951936,0.7649174088973237,-0.10630900810891275,0.05090909090909091,88.0,1046845.2395895193,-0.05053706306816419,-11.686538489129592,-0.04114510240957048,0.20000000000000004,6.0,949462.9369318358,-0.06785793881624236,-0.008590413516772588
direction_prob,50,2,0.12819227912214237,1.8106450023509368,-0.10407762879862326,0.09045454545454545,88.0,1128192.2791221424,-0.050259605478202296,-11.089278661065247,-0.04268431151484209,0.2333333333333334,6.0,949740.3945217977,0.013489100716380653,-0.008312955926810695
direction_prob,50,3,0.12266518481125366,1.6764714663924358,-0.10798401604177876,0.13000000000000003,88.0,1122665.1848112536,-0.04821576146256501,-10.628462445693236,-0.04133994716620348,0.2666666666666668,6.0,951784.238537435,0.00796200640549194,-0.006269111911173408
direction_prob,50,5,0.10987942552292496,1.5457463491776995,-0.11078578721902632,0.20909090909090908,88.0,1109879.4255229249,-0.05143323642182451,-11.41516960671497,-0.04331900732385563,0.3333333333333333,6.0,948566.7635781755,-0.004823752882836763,-0.009486586870432911
direction_prob,50,10,0.0823366775883898,1.203617699058617,-0.11815573602514062,0.4068181818181818,88.0,1082336.6775883897,-0.05801136964661058,-12.202095703021945,-0.04929096281245127,0.49999999999999994,6.0,941988.6303533894,-0.03236650081737191,-0.016064720095218976
direction_prob,50,50,-0.030559852847806268,-0.3160552399083015,-0.15008428610872948,1.9886363636363635,88.0,969440.1471521937,-0.056415562447599266,-10.786000630938872,-0.05261164738981339,1.8333333333333333,6.0,943584.4375524007,-0.145263031253568,-0.014468912896207664
z_y_plus_return,5,0,0.08696864119725833,1.289592826320991,-0.11181553734038818,0.20227272727272724,88.0,1086968.6411972584,0.08928350824172293,9.174672731229492,-0.02226455734010857,0.26666666666666666,6.0,1089283.5082417228,-0.027734537208503385,0.13123015779311453
z_y_plus_return,5,1,0.07950278043858261,0.9523975077176,-0.17354775799119326,0.4068181818181818,88.0,1079502.7804385826,0.04782492105749281,6.2016458788430535,-0.032344440047312406,0.49999999999999994,6.0,1047824.9210574927,-0.03520039796717911,0.08977157060888441
z_y_plus_return,5,2,0.044244345949080666,0.5965101278284962,-0.14231551087983763,0.8022727272727272,88.0,1044244.3459490808,-0.009956949579998264,-1.0160562035571064,-0.05933878509315482,0.8333333333333334,6.0,990043.0504200017,-0.07045883245668105,0.03198969997139334
