variant,rank,stock_code,stock_name,industry,y_score,raw_y_score,final_score,return_pred,direction_prob,strict_theme_strength,strict_theme_hp,strict_tr,strict_hp,strict_oh,strict_br,strict_mf
strict_s5_soft,6.0,300518.SZ,新迅达,互联网,2.6946208702401777,-1.519801,-2.2647722,-0.0028667394,0.45451766,3.264366272541975,2.690897184271612,3.462433525549447,4.0,0.16621573610873963,0.009025686486678132,0.07578079083141728
strict_s5_soft,7.0,603011.SH,合锻智能,专用机械,2.685844811912255,-0.6851838,-1.5367775,-0.0028966758,0.41997603,4.0,0.0,3.845746764186254,0.0,0.9998018992771582,0.004448829931243534,1.0770789042376852
strict_s5_soft,8.0,300319.SZ,麦捷科技,元器件,2.620837338804884,-0.82744056,-1.6411239,-0.0028936937,0.4314918,4.0,0.0,3.6672698572984057,0.0,0.9998900891964363,0.004313476867553842,1.0916029789900334
strict_s5_soft,9.0,300649.SZ,杭州园林,建筑工程,2.602320248135764,-1.0523374,-1.8839506,-0.0025707185,0.4457564,3.9061145193294293,0.0,4.0,0.0,0.9997046136145575,0.0008797615918295919,1.2699589135266327
strict_s5_soft,10.0,300849.SZ,锦盛新材,塑料,2.586772042695217,-0.4501849,-1.270332,-0.002955243,0.426978,3.3189192357932527,0.0,3.2632198143306117,0.0,0.9998724642821947,0.006699402043311909,0.5681889375491818
strict_s5_soft,11.0,002951.SZ,金时科技,广告包装,2.5865045920565644,-0.72120017,-1.5105776,-0.0026065297,0.42838728,3.9584603319624665,0.0,2.0180440513486975,0.0,0.9341850960181172,0.03470538896175745,0.8142248388907979
strict_s5_soft,12.0,600857.SH,宁波中百,百货,2.580012243359508,-0.5648266,-1.3649491,-0.0029780865,0.4314375,4.0,0.0,4.0,0.0,0.9997995471116737,0.003823716321462119,-0.562300325149655
strict_s5_soft,13.0,300721.SZ,怡达股份,化工原料,2.575449266020489,-1.628257,-2.4222891,-0.0029291064,0.44196206,4.0,4.0,4.0,4.0,0.2688561916662408,0.0014437499114469577,0.27813330381410184
strict_s5_soft,14.0,688598.SH,金博股份,矿物制品,2.548504546062721,-1.498637,-2.208598,-0.0023843553,0.43435404,4.0,4.0,2.3837718585395833,2.2682724141775936,0.6634947709189836,0.012715024335286299,1.3651329066209688
strict_s5_soft,15.0,603931.SH,格林达,化工原料,2.546421820007411,-1.3501558,-2.180059,-0.0029933378,0.44643158,4.0,2.3181300844100665,4.0,2.2267913193400113,0.33098682648604494,0.0013173037096925865,0.46170020696413583
strict_s5_soft,16.0,301013.SZ,利和兴,专用机械,2.524532312692595,-1.0747201,-1.8580446,-0.0028424533,0.44502282,4.0,0.0,4.0,0.0,0.9997504504894015,0.001003011322179589,1.0074899341535284
strict_s5_soft,17.0,603681.SH,永冠新材,化工原料,2.5083679968048016,-1.0133942,-1.7967985,-0.0025841035,0.439582,3.945326411969645,0.0,3.8373619348342434,0.0,0.9983465075517557,0.0065733114469233135,-0.06509983715249419
strict_s5_soft,18.0,688515.SH,裕太微-U,半导体,2.5000629328915593,-0.9978786,-1.798099,-0.002855259,0.43631575,4.0,0.0,4.0,0.0,0.9999213194566731,0.0012070376588966816,0.6367567404527769
strict_s5_soft,19.0,601066.SH,中信建投,证券,2.4913214507391634,-0.41366595,-1.1811444,-0.0029282495,0.42564222,3.933573986995218,0.0,2.0050751597665566,0.0,0.996914380894355,0.04550103881164099,0.023190795279675085
strict_s5_soft,20.0,600188.SH,兖矿能源,煤炭开采,2.485042994880505,-1.1199293,-1.8965197,-0.0026617255,0.4389191,3.3938290350316827,0.0,3.0914551322434902,0.0,0.9998786210670373,0.006701788765387762,0.8828758340171019
strict_s5_soft,21.0,600162.SH,香江控股,全国地产,2.444792487634381,0.5397675,-0.36563295,-0.003377935,0.4095622,4.0,0.0,4.0,0.0,0.9999393028124254,0.001600659392362669,0.07147534518335139
strict_s5_soft,22.0,600280.SH,中央商场,百货,2.4282040765441657,-0.19456266,-1.085518,-0.0029400028,0.41338074,4.0,0.0,3.1237209599584608,0.0,0.999920157168826,0.009916099555697756,-0.393543956952674
strict_s5_soft,23.0,300197.SZ,节能铁汉,环境保护,2.4094554072012513,0.25337577,-0.741857,-0.0034261607,0.40350127,3.377967381114302,0.0,4.0,0.0,0.9999547552728665,0.0019085247298266442,-0.011263920978874232
strict_s5_soft,24.0,301439.SZ,泓淋电力,电气设备,2.4083917300578,-0.91654414,-1.790873,-0.0027650166,0.42513382,3.8751899948029194,0.0,4.0,0.0,0.9998635835765892,0.002914713150818069,0.013192597463651297
strict_s5_soft,25.0,688301.SH,奕瑞科技,医疗保健,2.3999781564412745,-2.0435495,-2.8235621,-0.0030336492,0.4583634,3.9928223692553253,4.0,4.0,4.0,0.03408194568085787,0.0012182930493993438,1.1519375005755759
strict_s5_soft,26.0,603386.SH,骏亚科技,元器件,2.384429096267334,-1.0093279,-1.8121842,-0.0024497425,0.42887428,4.0,0.0,2.1665206454122123,0.0,0.9987152359506747,0.022023484888998943,0.848406365822612
strict_s5_soft,27.0,603990.SH,麦迪科技,软件服务,2.3827368602818892,-1.1530837,-1.9346075,-0.0028379401,0.44753882,3.7025700551281493,0.0,4.0,0.0,0.9996914322404812,0.0014423524355321638,0.2800729378247092
strict_s5_soft,28.0,688609.SH,九联科技,家用电器,2.3810145883483655,-1.3820233,-2.0879095,-0.0020920262,0.45332497,4.0,0.0,2.8580733447393176,0.0,0.8905100509971443,0.018143061324027814,0.015604508214858464
strict_s5_soft,29.0,600121.SH,郑州煤电,煤炭开采,2.3723917099844134,-1.0525943,-1.8373088,-0.002779238,0.44013423,3.4440992555099843,0.0,3.311771239008115,0.0,0.999950875928091,0.00948118136632535,0.2629591496251841
strict_s5_soft,30.0,688379.SH,华光新材,机械基件,2.367980188073793,-1.737511,-2.5035188,-0.002801274,0.44491798,1.148122334471371,3.4385367347841047,1.382232407623117,4.0,0.34385215275507053,0.07282514537815005,1.7613427267383877
strict_theme_s2,1.0,688783.SH,西安奕材-U,半导体,3.46708494680674,-1.2941182,-2.0768485,-0.002553395,0.44238,3.965508509973894,4.0,3.9341051841087737,4.0,0.2298989398914579,0.002052408832862223,1.089260646224313
