industry,count,top20,top80,median_rank,mean_score,variant
船舶,11,0,0,2556.0,-0.2052171121286481,strict_theme_s2
装修装饰,18,0,0,2074.5,0.03786702398499378,strict_theme_s2
证券,50,1,1,3393.0,-0.3454410222801879,strict_theme_s2
超市连锁,8,0,0,2504.5,0.057989153380200234,strict_theme_s2
路桥,19,0,0,1849.0,-0.03504511032756999,strict_theme_s2
软件服务,241,0,2,2621.0,-0.13604359935659163,strict_theme_s2
软饮料,9,0,0,1358.0,0.44766500383309743,strict_theme_s2
轻工机械,6,0,0,2643.5,-0.4493331187676462,strict_theme_s2
运输设备,44,0,0,2608.5,-0.14173181298705229,strict_theme_s2
通信设备,124,0,0,1880.0,0.2331102725322934,strict_theme_s2
造纸,32,0,0,3410.5,-0.30580898405895024,strict_theme_s2
酒店餐饮,8,0,0,3901.5,-0.8099723085055816,strict_theme_s2
钢加工,22,0,0,1960.0,-0.011531336381270563,strict_theme_s2
铁路,7,0,0,2895.0,-0.43827216695606147,strict_theme_s2
铅锌,13,0,0,2392.0,-0.13144272062755996,strict_theme_s2
铜,18,0,0,1407.5,0.5020343099989629,strict_theme_s2
铝,29,0,0,2982.0,-0.21034001521222756,strict_theme_s2
银行,42,0,0,3017.5,-0.4124065519154243,strict_theme_s2
陶瓷,5,0,0,1086.0,0.7937068918147514,strict_theme_s2
食品,79,0,0,3130.0,-0.38336605447240474,strict_theme_s2
饲料,21,0,0,3609.0,-0.5256335007952788,strict_theme_s2
黄金,10,0,0,3752.5,-0.711624383641181,strict_theme_s2
IT设备,68,0,0,1775.5,-1000000000.0264707,strict_theme_s5_rerank
专用机械,250,3,6,2393.0,-931999999.9048036,strict_theme_s5_rerank
中成药,60,0,2,2607.0,-966666666.6757047,strict_theme_s5_rerank
乳制品,19,0,1,2742.0,-947368421.0136843,strict_theme_s5_rerank
互联网,75,1,1,1630.0,-986666666.691997,strict_theme_s5_rerank
仓储物流,43,0,0,2641.0,-1000000000.1116279,strict_theme_s5_rerank
供气供热,43,0,0,3755.0,-1000000000.2511629,strict_theme_s5_rerank
保险,5,0,0,3148.0,-1000000000.0,strict_theme_s5_rerank
元器件,276,4,14,1961.5,-815217391.010663,strict_theme_s5_rerank
全国地产,24,0,0,2616.0,-958333333.321961,strict_theme_s5_rerank
公共交通,7,0,0,2874.0,-1000000000.0857143,strict_theme_s5_rerank
公路,2,0,0,3481.0,-1000000000.0,strict_theme_s5_rerank
其他商业,11,0,0,1167.0,-1000000000.0545455,strict_theme_s5_rerank
其他建材,27,0,1,871.0,-925925925.8851235,strict_theme_s5_rerank
农业综合,37,0,0,1528.0,-1000000000.081081,strict_theme_s5_rerank
农用机械,10,0,0,1677.5,-1000000000.0600001,strict_theme_s5_rerank
农药化肥,52,0,0,1564.5,-1000000000.0576923,strict_theme_s5_rerank
出版业,28,0,0,3147.0,-1000000000.1071428,strict_theme_s5_rerank
化学制药,135,0,0,2274.0,-992592592.6148905,strict_theme_s5_rerank
化工原料,231,3,6,2303.0,-969696969.6745969,strict_theme_s5_rerank
化工机械,12,0,0,966.0,-1000000000.1,strict_theme_s5_rerank
化纤,31,0,0,1912.0,-967741935.4726633,strict_theme_s5_rerank
区域地产,38,0,0,2689.0,-1000000000.0631579,strict_theme_s5_rerank
医疗保健,164,0,0,2818.0,-1000000000.0256099,strict_theme_s5_rerank
医药商业,35,0,0,2806.0,-1000000000.1028571,strict_theme_s5_rerank
